CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Structural Analysis of Strategic Variables through MICMAC Use: Case Study,Italia,Mediterranean Journal of Social Sciences,2039-9340,2016,7,N/A,11 - 19,10.5901/mjss.2016.v7n4p ,"MARTHA LUZ BENJUMEA ARIAS, LEONEL ALCIDES CASTANEDA PELAEZ, ALEJANDRO VALENCIA ARIAS"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,El papel del transporte en el desarrollo de la actividad turística: un análisis bibliométrico,Venezuela,Revista Geografica Venezolana,1012-1617,2016,57,N/A,278 - 295, ,ALEJANDRO VALENCIA ARIAS
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Perception of college students regarding the practice of coaching tools: case study,India,International Journal of Economic Research,0972-9380,2016,13,N/A,435 - 443, ,"JONATHAN BERMUDEZ HERNANDEZ, ANDRES FELIPE VASQUEZ ALVAREZ, ALEJANDRO VALENCIA ARIAS"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Structural Analysis of Strategic Variables through MICMAC Use: Case Study,Italia,Mediterranean Journal of Social Sciences,2039-2117,2016,7,4,11 - 19,10.5901/mjss.2016.v7n4p11 ,"MARTHA LUZ BENJUMEA ARIAS, ALEJANDRO VALENCIA ARIAS, LEONEL ALCIDES CASTANEDA PELAEZ"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,PRECIO DEL DÓLAR ESTADOUNIDENSE EN EL MUNDO PROCESOS DE ITÔ ECONÓMICAMENTE PONDERADOS EN UN ANÁLISIS ESPACIAL,México,ECONOMÍA Y SOCIEDAD,1870-414X,2016,34,20,83 - 105, ,"LUIS EDUARDO FRANCO CEBALLOS, GABRIEL ALBERTO AGUDELO TORRES, LUIS CEFERINO FRANCO ARBELAEZ"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,PRECIO DEL DÓLAR ESTADOUNIDENSE EN EL MUNDO PROCESOS DE ITÔ ECONÓMICAMENTE PONDERADOS EN UN ANÁLISIS ESPACIAL,México,ECONOMÍA Y SOCIEDAD,1870-414X,2016,34,20,83 - 105, ,LUIS CEFERINO FRANCO ARBELAEZ
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Responsabilidad social y ética médico-sanitaria,Colombia,Ratio Juris,1794-6638,2016,11,N/A,73 - 90,10.24142/raju.v11n22a3 ,"ANA MARIA CORREA DIAZ, ALEJANDRO VALENCIA ARIAS"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Innovación en instituciones de salud como fuente de competitividad,Venezuela,Revista Venezolana de Gerencia,1315-9984,2016,21,74,227 - 241, ,"HERNAN GOMEZ CALDERON, JOHN EDISSON LONDONO RUA, JAKELINE SERRANO GARCIA"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Diversificación Internacional de Portafolios en Colombia por Medio de ETF,Colombia,Lámpsakos,2145-4086,2016,2016,N/A,30 - 42,10.21501/21454086.1750 ,"LUIS MIGUEL JIMENEZ GOMEZ, NATALIA MARIA ACEVEDO PRINS, FRED RESTREPO GIRALDO"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Innovación en instituciones de salud como fuente de competitividad,Venezuela,Revista Venezolana de Gerencia,1315-9984,2016,21,34,227 - 241, ,"JAKELINE SERRANO GARCIA, HERNAN GOMEZ CALDERON, JOHN EDISSON LONDONO RUA"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,El papel de las narrativas digitales como nueva estrategia educativa: resultados desde un análisis bibliométrico,Colombia,Kepes,1794-7111,2016,13,N/A,197 - 231,10.17151/kepes.2016.13.13.10 ,"ELIANA MARIA VILLA ENCISO, JACKELINE VALENCIA ARIAS, ALEJANDRO VALENCIA ARIAS"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,El papel de las narrativas digitales como nueva estrategia educativa: resultados desde un análisis bibliométrico,Colombia,Kepes,1794-7111,2016,13,págs:,197 - 231,10.17151/kepes.2016.13.13.10 ,"ELIANA MARIA VILLA ENCISO, ALEJANDRO VALENCIA ARIAS"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Mapeo del campo de conocimiento en intenciones emprendedoras mediante el análisis de redes sociales de conocimiento,Chile,Ingeniare,0718-3305,2016,24,N/A,337 - 350,10.4067/S0718-33052016000200015 ,"IVAN ALONSO MONTOYA RESTREPO, ALEJANDRO VALENCIA ARIAS, LUZ ALEXANDRA MONTOYA RESTREPO"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Structural Equation Model for Studying the Mobile-Learning Acceptance,Estados Unidos,IEEE Latin America Transactions,1548-0992,2016,14,N/A,1988 - 1992,10.1109/TLA.2016.7483544 ,ALEJANDRO VALENCIA ARIAS
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Taxonomías de técnicas y herramientas para la Ingeniería del Conocimiento: guía para el desarrollo de proyectos de conocimiento,Chile,Ingeniare,0718-3305,2016,24,N/A,351 - 360,10.4067/S0718-33052016000200016 ,"VANESSA RODRIGUEZ LORA, MONICA HENAO CALAD, ALEJANDRO VALENCIA ARIAS"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,PRECIO DEL DÓLAR ESTADOUNIDENSE EN EL MUNDO PROCESOS DE ITÔ ECONÓMICAMENTE PONDERADOS EN UN ANÁLISIS ESPACIAL,México,ECONOMÍA Y SOCIEDAD,1870-414X,2016,34,págs:,83 - 105, ,"GABRIEL ALBERTO AGUDELO TORRES, LUIS CEFERINO FRANCO ARBELAEZ, LUIS EDUARDO FRANCO CEBALLOS"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Acercamiento a la aplicación de la teoría de juegos evolutiva en el área de emprendimiento,Venezuela,Espacios,0798-1015,2016,37,N/A,27 - 35, ,"FAUSTO ORLANDO MAUSSA PEREZ, LUISA FERNANDA DIEZ ECHAVARRIA, MARIA LUCELLY URREGO MARIN, JAIRO ADOLFO TORRES VELASQUEZ, ALEJANDRO VALENCIA ARIAS, JONATHAN BERMUDEZ HERNANDEZ"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Acercamiento a la aplicación de la teoría de juegos evolutiva en el área de emprendimiento,Venezuela,Espacios,0798-1015,2016,37,NA,27 - 35, ,JONATHAN BERMUDEZ HERNANDEZ
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Acercamiento a la aplicación de la teoría de juegos evolutiva en el área de emprendimiento,Venezuela,Espacios,0798-1015,2016,37,N/A,27 - 35, ,"FAUSTO ORLANDO MAUSSA PEREZ, LUISA FERNANDA DIEZ ECHAVARRIA, MARIA LUCELLY URREGO MARIN, JAIRO ADOLFO TORRES VELASQUEZ, ALEJANDRO VALENCIA ARIAS, JONATHAN BERMUDEZ HERNANDEZ"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Modelo actuarial para el cálculo de la probabilidad de pensión mediante un proceso de difusión con saltos,Venezuela,Espacios,0798-1015,2016,37,9,25 - 26, ,"LUIS EDUARDO FRANCO CEBALLOS, GABRIEL ALBERTO AGUDELO TORRES, LUIS CEFERINO FRANCO ARBELAEZ"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Modelo de ecuaciones estructurales para estudiar la aceptación del m-learning,Estados Unidos,IEEE Latin America Transactions,1548-0992,2016,14,N/A,1 - 5,10.1109/TLA.2016.7483544 ,"ALEJANDRO VALENCIA ARIAS, MONICA CASTANEDA RIASCOS"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Taxonomías de técnicas y herramientas para la Ingeniería del Conocimiento: guía para el desarrollo de proyectos de conocimiento,Chile,Ingeniare,0718-3305,2016,24,2,351 - 360,10.4067/S0718-33052016000200016 ,VANESSA RODRIGUEZ LORA
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Six Sigma como Herramienta de Mejoramiento Continuo: Caso de Estudio,Venezuela,Espacios,0798-1015,2016,37,9,9 - 18, ,JONATHAN BERMUDEZ HERNANDEZ
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Modelo actuarial para el cálculo de la probabilidad de pensión mediante un proceso de difusión con saltos,Venezuela,Espacios,0798-1015,2016,37,09,25 - 26, ,"LUIS CEFERINO FRANCO ARBELAEZ, LUIS EDUARDO FRANCO CEBALLOS, GABRIEL ALBERTO AGUDELO TORRES"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Modelo actuarial para el cálculo de la probabilidad de pensión mediante un proceso de difusión con saltos,Venezuela,Espacios,0798-1015,2016,37,9,25 - 25, ,"GABRIEL ALBERTO AGUDELO TORRES, LUIS CEFERINO FRANCO ARBELAEZ, LUIS EDUARDO FRANCO CEBALLOS"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,S-Curve analysis and technology life cycle. Application in series of data of articles and patents,Venezuela,Espacios,0798-1015,2016,37,07,19 - 19, ,"FABIAN MAURICIO VELEZ SALAZAR, BIBIANA ARANGO ALZATE, JHON WILDER ZARTHA SOSSA, ANDRES FELIPE AVALOS PATINO"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Organizaciones educativas,,"el poder en el aula. Estudio de caso en el Instituto Tecnológico Metropolitano y en la Institución Universitaria Salazar y Herrera  Colombia, Revista Electronica Educare",1409-4258,2016,20,1,1 - 23,http://dx.doi.org/10.15359/ree.20-1.7 ,JORGE ARIEL FRANCO LOPEZ
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,An approach between tools for the analysis of tendencies and business innovation management,Colombia,Revista Lasallista de Investigacion,1794-4449,2016,13,N/A,178 - 187,10.22507/rli.v13n2a16 ,"JOVANY ARLEY SEPULVEDA AGUIRRE, LUIS FERNANDO GARCES GIRALDO, HUBER FERNANDO GOMEZ MOLINA, JAKELINE SERRANO GARCIA"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Acceptance Factors on the Use of Social Networks for Academic Purposes of Management Sciences Students,Polonia,New Educational Review,1732-6729,2015,42,4,133 - 143,10.15804/tner.2015.42.4.11 ,"FABIAN MAURICIO VELEZ SALAZAR, ALEJANDRO VALENCIA ARIAS, CAROLINA VELEZ SALAZAR"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Acceptance Factors on the Use of Social Networks for Academic Purposes of Management Sciences Students,Polonia,New Educational Review,1732-6729,2015,42,N/A,133 - 143,10.15804/tner.2015.42.4.11 ,"ALEJANDRO VALENCIA ARIAS, FABIAN MAURICIO VELEZ SALAZAR, ANA MARIA CORREA DIAZ"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Panorama de la innovación en el sistema Triple Hélice: Universidad-Empresa-Estado,Venezuela,Espacios,0798-1015,2015,36,N/A,22 - 35, ,"DIANA MARIA ARANGO BOTERO, ALEJANDRO VALENCIA ARIAS"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Panorama de la innovación en el sistema Triple Hélice: Universidad-Empresa-Estado,Venezuela,Espacios,0798-1015,2015,36,N/A,22 - 35, ,"EDWIN MAURICIO HINCAPIE MONTOYA, GUSTAVO ADOLFO MORENO LOPEZ, ANGELA MARIA PRADA CADAVID, ALEJANDRO VALENCIA ARIAS, DIANA MARIA ARANGO BOTERO"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Financial analysis of photovoltaic configurations for Colombian households,Colombia,IEEE Latin America Transactions,1548-0992,2015,13,12,1 - 8, ,"DIANA LORENA CADAVID HIGUITA, CARLOS JAIME FRANCO CARDONA, MARITZA JIMENEZ ZAPATA"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Diversificación internacional de portafolios con índices bursátiles: caso colombiano,Colombia,Revista En Contexto,2346-3279,2015,1,N/A,79 - 104, ,"LUIS MIGUEL JIMENEZ GOMEZ, NATALIA MARIA ACEVEDO PRINS, FRED RESTREPO GIRALDO"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,The energy trilemma in the policy design of the electricity market,Colombia,DYNA,0012-7353,2015,82,N/A,160 - 169,10.15446/dyna.v82n194.48595 ,"CARLOS JAIME FRANCO CARDONA, MONICA CASTANEDA RIASCOS, ALEJANDRO VALENCIA ARIAS, JONATHAN BERMUDEZ HERNANDEZ"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,The energy trilemma in the policy design of the electricity market,Colombia,DYNA,0012-7353,2015,82,194,160 - 169,http://dx.doi.org/10.15446/dyna.v82n194.48595 ,JONATHAN BERMUDEZ HERNANDEZ
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,APLICACIÓN DE LA ECONOMETRÍA ESPACIAL PARA EL ANÁLISIS DE LA MISERIA EN LOS MUNICIPIOS DEL DEPARTAMENTO DE ANTIOQUIA,Colombia,Semestre Económico,0120-6346,2015,18,37,103 - 128, ,"LUIS EDUARDO FRANCO CEBALLOS, LUIS CEFERINO FRANCO ARBELAEZ, GABRIEL ALBERTO AGUDELO TORRES"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,"MEDICIÓN DE LAS INFLUENCIAS ECONÓMICAS Y SOCIALES DEL MICROCRÉDITO EN LA CALIDAD DE VIDA"" En: Colombia.",Colombia,Contexto,2339-3084,2015,4,1,81 - 90, http://dx.doi.org/10.18634/ctxj.4v.1i.414 ,"JUAN FERNANDO RENDON GARCIA, HERNAN DARIO VILLADA MEDINA, DAVID ESTEBAN RODRIGUEZ GUEVARA"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Estudio sobre los fenómenos de triangulación comercial: modelo ¿puente¿,Venezuela,Revista Venezolana de Gerencia,1315-9984,2015,20,N/A,648 - 664, ,ALEJANDRO VALENCIA ARIAS
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Tecnología como factor de innovación en empresas colombianas,Venezuela,Revista Venezolana de Gerencia,1315-9984,2015,20,70,201 - 216, ,JOHN EDISSON LONDONO RUA
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,La comunicación pública como estrategia orientadora en los procesos de participación ciudadana de los jóvenes,Colombia,Encuentros,1692-5858,2015,13,N/A,111 - 122,10.15665/re.v13i1.353 ,"JONATAN ALEJANDRO CUADROS RODRIGUEZ, ALEJANDRO VALENCIA ARIAS"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Identification of Difficulties in the Consolidation of Research Processes at a Higher Education Institution: A Case Study,Brasil,Turkish Online Journal of Educational Technology,1303-6521,2015,14,3,73 - 80, ,"LUISA FERNANDA DIEZ ECHAVARRIA, ELIANA MARIA VILLA ENCISO, LAURA CRISTINA VANEGAS RENDON, ALEJANDRO VALENCIA ARIAS"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Individual Factors that Encourage the Use of Virtual Platforms of Administrative Sciences Students: A Case Study,Turquía,Turkish Online Journal of Educational Technology,1303-6521,2015,14,3,81 - 87, ,JONATHAN BERMUDEZ HERNANDEZ
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Identificación del desempeño de las empresas dentro de los clusters,Venezuela,Espacios,0798-1015,2015,36,12,11 - 19, ,"DIANA MARIA ARANGO BOTERO, ALEJANDRO VALENCIA ARIAS"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,The Effect of a Sports Stadium on Housing Rents: An Application of Geographically Weighted Regression,Colombia,Ecos De Economía,1657-4206,2015,19,40,66 - 88, ,GABRIEL ALBERTO AGUDELO TORRES
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,The Effect of a Sports Stadium on Housing Rents: An Application of Geographically Weighted Regression,Colombia,Ecos De Economía,1657-4206,2015,19,40,66 - 88, ,LUIS EDUARDO FRANCO CEBALLOS
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,The Effect of a Sports Stadium on Housing Rents: An Application of Geographically Weighted Regression Colombia,,Ecos De Economía,1657-4206,2015,19,40,66 - 80,10.17230/ecos.2015.40.4 ,LUIS CEFERINO FRANCO ARBELAEZ
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,The effects of decarbonisation policies on the electricity sector,Colombia,IEEE Latin America Transactions,1548-0992,2015,13,5,1407 - 1413,,MONICA CASTANEDA RIASCOS
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Factores explicativos de las intenciones emprendedoras en estudiantes universitarios,Venezuela,Espacios,0798-1015,2015,36,5,7 - 15, ,"ALEJANDRO VALENCIA ARIAS, IVAN ALONSO MONTOYA RESTREPO, LUZ ALEXANDRA MONTOYA RESTREPO"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Identificación de factores externos que inciden en el fortalecimiento de las unidades productivas asociativas (UPAS) en Medellín,,"Colombia  México, Ciencia Ergo Sum",1405-0269,2015,22,págs:,8 - 18, ,"MARTHA LUZ BENJUMEA ARIAS, MARISOL CHAVERRA ESPINOSA, LUIS FERNANDO ROMAN HENAO, DARIO HURTADO CUARTAS, EDWIN PAOLO ATENCIO PERALTA"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Student's Perception and Expectation towards the Creation and Implementation of a Technology Management Laboratory at the Metropolitan Technology Institute MTI,Hungría,"Periodica Polytechnica, Social and Management Sciences",1416-3837,2015,23,2,98 - 105,10.3311/PPso.7915 ,"FABIAN MAURICIO VELEZ SALAZAR, ALEJANDRO VALENCIA ARIAS"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Differential Calculus Teaching through Virtual Learning Objects in the Field of Management Sciences,Turquía,Procedia - Social and Behavioral Sciences,1877-0428,2015,176,15,412 - 418, https://doi.org/10.1016/j.sbspro.2015.01.490 ,"DIANA YANET GAVIRIA RODRIGUEZ, ALEJANDRO VALENCIA ARIAS, JUAN GUILLERMO ARANGO ARANGO, JOEL ENOC OLAYA ARIZA"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Reflections about the Use of Information and Communication Technologies in Accounting Education,Países Bajos,Procedia - Social and Behavioral Sciences,1877-0428,2015,176,N/A,192 - 197, https://doi.org/10.1016/j.sbspro.2015.01.569 ,DIANA YANET GAVIRIA RODRIGUEZ
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Formative research in higher education: some reflections,Países Bajos,Procedia - Social and Behavioral Sciences,1877-0428,2015,176,N/A,940 - 945,10.1016/j.sbspro.2015.01.562 ,JACKELINE ANDREA MACIAS URREGO
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,APLICACIÓN DE LA ECONOMETRÍA ESPACIAL PARA EL ANÁLISIS DE LA MISERIA EN LOS MUNICIPIOS DEL DEPARTAMENTO DE ANTIOQUIA,Colombia,Semestre Económico,0120-6346,2015,18,37,103 - 128, ,LUIS CEFERINO FRANCO ARBELAEZ
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Simulating the new British Electricity-Market Reform,Países Bajos,European Journal of Operational Research,0377-2217,2015,245,1,273 - 285,doi:10.1016/j.ejor.2015.02.040 ,MONICA CASTANEDA RIASCOS
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Promoción de la cultura investigativa como motor de desarrollo económico y social: una visión sistémica,Polonia,Espacios,0798-1015,2015,36,1,3 - 12, ,"LUISA FERNANDA DIEZ ECHAVARRIA, ALEJANDRO VALENCIA ARIAS, ELIANA MARIA VILLA ENCISO"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,APLICACIÓN DE LA ECONOMETRÍA ESPACIAL PARA EL ANÁLISIS DE LA MISERIA EN LOS MUNICIPIOS DEL DEPARTAMENTO DE ANTIOQUIA,Colombia,Semestre Económico,0120-6346,2015,18,37,103 - 127, ,"GABRIEL ALBERTO AGUDELO TORRES, LUIS CEFERINO FRANCO ARBELAEZ, LUIS EDUARDO FRANCO CEBALLOS"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,El papel de la integración Universidad-Empresa-Estado como estrategia en el fortalecimiento de los Sistemas Regionales de Innovación,Venezuela,Espacios,0798-1015,2014,35,13,15 - 27, ,"JONATHAN BERMUDEZ HERNANDEZ, MONICA CASTANEDA RIASCOS, ALEJANDRO VALENCIA ARIAS"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Influence of usefulness and usability perceived in the adoption of mobile learning in students of economics and administrative sciences,Portugal,Ciencia e Tecnica Vitivinicola,0254-0223,2014,29,8,234 - 243, ,"ALEJANDRO VALENCIA ARIAS, VANESSA RODRIGUEZ LORA, PIEDAD HELENA BETANCUR ZULUAGA"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Strategies to encourage the use of ICT in the professional training of undergraduate students: a case study,Polonia,Sylwan,0039-7660,2014,158,8,541 - 550, ,"JORGE DUQUE AVENDANO, MARTHA LUZ BENJUMEA ARIAS, ALEJANDRO VALENCIA ARIAS"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Intención de uso del e-learning en el programa de Administración Tecnológica desde la perspectiva del modelo de aceptación tecnológica,Costa Rica,Revista Electronica Educare,1409-4258,2014,18,2,247 - 264,10.15359/ree.18-2.13 ,"MARTHA LUZ BENJUMEA ARIAS, ALEJANDRO VALENCIA ARIAS, VANESSA RODRIGUEZ-LORA"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Intención de uso del e-learning en el programa de Administración Tecnológica desde la perspectiva del modelo de aceptación tecnológica,Costa Rica,Revista Electronica Educare,1409-4258,2014,18,2,247 - 264,http://dx.doi.org/10.15359/ree.18-2.13,"ALEJANDRO VALENCIA ARIAS, MARTHA LUZ BENJUMEA ARIAS BENJUMEA ARIAS, VANESSA RODRIGUEZ LORA"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Artículos publicados en revistas especializadas - Electrónicos Nombre revista	Título del artículo	Año presentación	Mes presentación	Volumen	URL del artículo	DOI del artículo	ISSN Revista Electronica Educare	SI	Intención de uso del e-learning en el programa de Administración Tecnológica desde la per,Costa Rica,Revista Electronica Educare,1409-4258,2014,18,2,247 - 264,10.15359/ree.18-2.13 ,VANESSA RODRIGUEZ LORA
